;报表类型,厂站号,报表编号,模板名称,属性(H)
0,1,1,"电度日报表","0"
0,1,2,"电度日报表01","0"
0,1,3,"电度日报表02","0"
0,1,4,"电度日报表03","0"
0,1,5,"电度日报表04","0"
5,1,2,"电度月报表","0"
