"点类型","点类型编号","点类型名称","对应术语类型","对应术语编号1","对应术语编号2"
"1","0","其它","1","1","2"
"1","1","断路器位置","1","3","4"
"1","2","隔离开关位置","1","8","7"
"1","3","装置事故总","1","1","2"
"1","4","装置预告总","1","1","2"
"1","5","保护及自动装置动作信号","1","1","2"
"1","6","保护预告信号","1","1","2"
"1","7","保护状态信号","1","1","2"
"1","8","弹簧储能信号","1","9","10"
"1","11","保护投退信号","1","11","12"
"1","21","事故跳闸总信号","1","1","2"
"1","22","有载调压变压器分接头位","1","1","2"
"1","23","消弧线圈分档位置","1","1","2"
"1","24","通道故障信号","1","1","2"
"1","25","装置主电源停电信号","1","1","2"
"1","26","发电机组运行状态信号","1","1","2"
"1","27","临时接地线","1","1","2"
"1","28","备用软地线","1","1","2"
"1","29","挂牌标志","1","1","2"
"1","30","全站闭锁点","1","1","2"
"1","31","指挥信号","1","1","2"
"1","32","双位遥信主点","1","1","2"
"1","33","双位遥信备点","1","1","2"
"1","34","小车运行位置","1","6","5"
"1","35","小车试验位置","1","6","5"
"1","36","小车检修位置","1","6","5"
"1","37","全站挂牌点","1","13","14"
"1","38","间隔挂牌点","1","13","14"
"1","39","保护设备事件点","1","1","2"
"2","0","其它"
"2","1","电流I"
"2","2","电压U"
"2","3","有功功率P"
"2","4","无功功率Q"
"2","5","功率因数COSφ"
"2","6","温度t"
"2","7","频率f"
"2","8","零序电流基波／五次谐波"
"2","9","零序电流基波／五次谐波"
"2","10","有载调压变压器分接头位"
"3","0","总量"
"3","1","峰峰"
"3","2","峰"
"3","3","平"
"3","4","谷"
"3","5","谷谷"
"3","6","增量"
"4","0","遥控","3","11","2"
"4","1","升降分接头"
"4","2","急停分接头"
"4","3","信号复归"
"4","4","全站信号复归"
"5","0","设值"
